State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
Andaman & Nicobar Islands,2018,1,P2P,2297,15513455.551771518
Andaman & Nicobar Islands,2018,1,Retail,6656,1848410.3295102227
Andaman & Nicobar Islands,2018,1,Utility,136,1207260.323170079
Andaman & Nicobar Islands,2018,2,P2P,4383,30744177.30506663
Andaman & Nicobar Islands,2018,2,Retail,10462,3511612.7506313515
Andaman & Nicobar Islands,2018,2,Utility,217,1261485.808650783
Andaman & Nicobar Islands,2018,3,P2P,7608,59724958.86573778
Andaman & Nicobar Islands,2018,3,Utility,408,2981726.8423904683
Andaman & Nicobar Islands,2018,3,Retail,13138,4636739.004343481
Andaman & Nicobar Islands,2018,4,P2P,12260,96899260.68219608
Andaman & Nicobar Islands,2018,4,Retail,18359,7469343.384946894
Andaman & Nicobar Islands,2018,4,Utility,520,3614453.453516159
Andaman & Nicobar Islands,2019,1,P2P,15423,113322658.71162094
Andaman & Nicobar Islands,2019,1,Retail,24638,8596448.53402566
Andaman & Nicobar Islands,2019,1,Utility,665,4433622.77843368
Andaman & Nicobar Islands,2019,2,P2P,18528,147031315.43187344
Andaman & Nicobar Islands,2019,2,Retail,27418,11684888.200027674
Andaman & Nicobar Islands,2019,2,Utility,818,4638592.410453087
Andaman & Nicobar Islands,2019,3,P2P,17346,136433844.7112736
Andaman & Nicobar Islands,2019,3,Utility,1570,5691191.116865713
Andaman & Nicobar Islands,2019,3,Retail,21707,9303261.124080405
Andaman & Nicobar Islands,2019,4,P2P,19490,153165110.298888
Andaman & Nicobar Islands,2019,4,Retail,18325,8737412.792066216
Andaman & Nicobar Islands,2019,4,Utility,3850,8938140.80493423
Andaman & Nicobar Islands,2020,1,P2P,19682,159741233.71285078
Andaman & Nicobar Islands,2020,1,Retail,23473,12529811.082064983
Andaman & Nicobar Islands,2020,1,Utility,5949,8756303.866879353
Andaman & Nicobar Islands,2020,2,P2P,23455,166776847.66930902
Andaman & Nicobar Islands,2020,2,Retail,43610,19545158.586792476
Andaman & Nicobar Islands,2020,2,Utility,11620,10930551.064741788
Andaman & Nicobar Islands,2020,3,P2P,48650,334973608.15923077
Andaman & Nicobar Islands,2020,3,Retail,76639,42364469.24439745
Andaman & Nicobar Islands,2020,3,Utility,18700,14745764.312034247
Andaman & Nicobar Islands,2020,4,P2P,95937,617700235.1702638
Andaman & Nicobar Islands,2020,4,Retail,132834,87452304.29247552
Andaman & Nicobar Islands,2020,4,Utility,43234,27006783.04050333
Andaman & Nicobar Islands,2021,1,P2P,130833,806540347.2883372
Andaman & Nicobar Islands,2021,1,Retail,86168,112077368.12192363
Andaman & Nicobar Islands,2021,1,Utility,99269,43830157.95790008
