State,Year,Quarter,Entity_Type,Entity_Name,Transaction_Count,Transaction_Amount
Andaman & Nicobar Islands,2018,1,Districts,south andaman district,7856,15963528.52727173
Andaman & Nicobar Islands,2018,1,Districts,nicobar district,696,1455284.3919340018
Andaman & Nicobar Islands,2018,1,Districts,north and middle andaman district,537,1150313.2852460896
Andaman & Nicobar Islands,2018,2,Districts,south andaman district,12505,30134503.87536049
Andaman & Nicobar Islands,2018,2,Districts,nicobar district,1480,3781103.3068816382
Andaman & Nicobar Islands,2018,2,Districts,north and middle andaman district,1077,1601668.6821066425
Andaman & Nicobar Islands,2018,3,Districts,south andaman district,17655,54092409.64111014
Andaman & Nicobar Islands,2018,3,Districts,nicobar district,1870,7560956.9597359225
Andaman & Nicobar Islands,2018,3,Districts,north and middle andaman district,1629,5690058.111625673
Andaman & Nicobar Islands,2018,4,Districts,south andaman district,26512,90420984.26139997
Andaman & Nicobar Islands,2018,4,Districts,north and middle andaman district,2767,9185662.901026566
Andaman & Nicobar Islands,2018,4,Districts,nicobar district,1860,8376410.358232589
Andaman & Nicobar Islands,2019,1,Districts,south andaman district,34266,105942992.0528665
Andaman & Nicobar Islands,2019,1,Districts,north and middle andaman district,4475,11664508.27869298
Andaman & Nicobar Islands,2019,1,Districts,nicobar district,1985,8745229.692520771
Andaman & Nicobar Islands,2019,2,Districts,south andaman district,38594,138112792.58357844
Andaman & Nicobar Islands,2019,2,Districts,north and middle andaman district,5401,12314190.168304607
Andaman & Nicobar Islands,2019,2,Districts,nicobar district,2769,12927813.290471084
Andaman & Nicobar Islands,2019,3,Districts,south andaman district,32303,118485702.87763233
Andaman & Nicobar Islands,2019,3,Districts,north and middle andaman district,5217,16517168.124453712
Andaman & Nicobar Islands,2019,3,Districts,nicobar district,3103,16425425.950133696
Andaman & Nicobar Islands,2019,4,Districts,south andaman district,31582,134069114.05064557
Andaman & Nicobar Islands,2019,4,Districts,north and middle andaman district,6442,19210234.10844691
Andaman & Nicobar Islands,2019,4,Districts,nicobar district,3641,17561315.73679584
Andaman & Nicobar Islands,2020,1,Districts,south andaman district,37256,142858940.37021932
Andaman & Nicobar Islands,2020,1,Districts,north and middle andaman district,7786,20949469.0518823
Andaman & Nicobar Islands,2020,1,Districts,nicobar district,4062,17218939.23969346
Andaman & Nicobar Islands,2020,2,Districts,south andaman district,58888,147692524.2823298
Andaman & Nicobar Islands,2020,2,Districts,north and middle andaman district,14624,30441142.025830574
Andaman & Nicobar Islands,2020,2,Districts,nicobar district,5173,19118891.012682706
Andaman & Nicobar Islands,2020,3,Districts,south andaman district,115755,316290983.9233926
Andaman & Nicobar Islands,2020,3,Districts,north and middle andaman district,21235,45524401.636429265
Andaman & Nicobar Islands,2020,3,Districts,nicobar district,6999,30268456.155840646
Andaman & Nicobar Islands,2020,4,Districts,south andaman district,225909,604885203.456435
Andaman & Nicobar Islands,2020,4,Districts,north and middle andaman district,35624,83988364.55532306
Andaman & Nicobar Islands,2020,4,Districts,nicobar district,10472,43285754.49148509
Andaman & Nicobar Islands,2021,1,Districts,south andaman district,264309,809046310.8944216
Andaman & Nicobar Islands,2021,1,Districts,north and middle andaman district,37769,101073766.52258408
Andaman & Nicobar Islands,2021,1,Districts,nicobar district,14192,52327795.95115583
Andaman & Nicobar Islands,2021,2,Districts,south andaman district,376673,913110489.9326307
Andaman & Nicobar Islands,2021,2,Districts,north and middle andaman district,58910,126125811.30673876
Andaman & Nicobar Islands,2021,2,Districts,nicobar district,22389,66494725.936738394
Andaman & Nicobar Islands,2021,3,Districts,south andaman district,486039,1264593066.9854102
Andaman & Nicobar Islands,2021,3,Districts,north and middle andaman district,70736,163200919.26389474
Andaman & Nicobar Islands,2021,3,Districts,nicobar district,30653,103011207.60528868
Andaman & Nicobar Islands,2021,4,Districts,south andaman district,623101,1730059610.7300625
Andaman & Nicobar Islands,2021,4,Districts,north and middle andaman district,69156,188810340.09018275
Andaman & Nicobar Islands,2021,4,Districts,nicobar district,30484,93324727.86981949
Andaman & Nicobar Islands,2022,1,Districts,south andaman district,870912,2111247231.397351
Andaman & Nicobar Islands,2022,1,Districts,north and middle andaman district,86322,217254062.41694564
Andaman & Nicobar Islands,2022,1,Districts,nicobar district,41261,124917985.77118734
Andaman & Nicobar Islands,2022,2,Districts,south andaman district,1250648,2783890970.497587
Andaman & Nicobar Islands,2022,2,Districts,north and middle andaman district,106052,267837449.97210306
Andaman & Nicobar Islands,2022,2,Districts,nicobar district,62856,177739744.43920964
Andaman & Nicobar Islands,2022,3,Districts,south andaman district,1660476,3214668843.4893517
Andaman & Nicobar Islands,2022,3,Districts,north and middle andaman district,132171,309818720.20306593
Andaman & Nicobar Islands,2022,3,Districts,nicobar district,84324,202744751.4116695
Andaman & Nicobar Islands,2022,4,Districts,south andaman district,2007262,3733794415.7143764
Andaman & Nicobar Islands,2022,4,Districts,north and middle andaman district,156287,360014875.255292
Andaman & Nicobar Islands,2022,4,Districts,nicobar district,99606,219802765.43140632
Andaman & Nicobar Islands,2023,1,Districts,south andaman district,2175865,4034862158.396229
Andaman & Nicobar Islands,2023,1,Districts,north and middle andaman district,169440,409858640.03638774
Andaman & Nicobar Islands,2023,1,Districts,nicobar district,104592,211584981.23877203
Andaman & Nicobar Islands,2023,2,Districts,south andaman district,2613370,4513171448.23246
Andaman & Nicobar Islands,2023,2,Districts,north and middle andaman district,203278,481346109.69705003
Andaman & Nicobar Islands,2023,2,Districts,nicobar district,122520,242166223.05250442
Andaman & Nicobar Islands,2023,3,Districts,south andaman district,2939635,4651123232.5427685
Andaman & Nicobar Islands,2023,3,Districts,north and middle andaman district,217009,513893931.4366777
Andaman & Nicobar Islands,2023,3,Districts,nicobar district,137369,264566063.23214144
Andaman & Nicobar Islands,2023,4,Districts,south andaman district,3508682,5653309774.486908
Andaman & Nicobar Islands,2023,4,Districts,north and middle andaman district,250039,561538834.3650013
Andaman & Nicobar Islands,2023,4,Districts,nicobar district,162492,323873852.6657955
Andaman & Nicobar Islands,2024,1,Districts,south andaman district,3874282,6135770727.40441
Andaman & Nicobar Islands,2024,1,Districts,north and middle andaman district,280960,619810451.0221277
Andaman & Nicobar Islands,2024,1,Districts,nicobar district,173104,317503854.3125706
Andaman & Nicobar Islands,2024,2,Districts,south andaman district,4271742,6450947672.11367
Andaman & Nicobar Islands,2024,2,Districts,north and middle andaman district,329894,697195645.0147521
Andaman & Nicobar Islands,2024,2,Districts,nicobar district,193954,347119892.9916517
Andaman & Nicobar Islands,2024,3,Districts,south andaman district,4715525,6567783531.056631
Andaman & Nicobar Islands,2024,3,Districts,north and middle andaman district,367086,723733031.5643303
Andaman & Nicobar Islands,2024,3,Districts,nicobar district,211895,374690079.0370774
Andaman & Nicobar Islands,2024,4,Districts,south andaman district,5432911,7769560763.162053
Andaman & Nicobar Islands,2024,4,Districts,north and middle andaman district,412987,760946675.6419402
Andaman & Nicobar Islands,2024,4,Districts,nicobar district,233903,404225286.54022944
Andaman & Nicobar Islands,2025,1,Districts,south andaman district,5631610,7924108214.092496
Andaman & Nicobar Islands,2025,1,Districts,north and middle andaman district,465796,852076523.6403015
Andaman & Nicobar Islands,2025,1,Districts,nicobar district,234676,385957865.216424
Andaman & Nicobar Islands,2025,2,Districts,south andaman district,5641663,7626317723.610065
Andaman & Nicobar Islands,2025,2,Districts,north and middle andaman district,479878,845171998.6243607
Andaman & Nicobar Islands,2025,2,Districts,nicobar district,253728,421965716.1753805
Andaman & Nicobar Islands,2025,3,Districts,south andaman district,5964985,7532357609.215436
Andaman & Nicobar Islands,2025,3,Districts,north and middle andaman district,508199,826403999.3666801
Andaman & Nicobar Islands,2025,3,Districts,nicobar district,258638,431576380.3889894
Andaman & Nicobar Islands,2025,4,Districts,south andaman district,6840092,9096405417.435642
Andaman & Nicobar Islands,2025,4,Districts,north and middle andaman district,531089,858455975.5462668
Andaman & Nicobar Islands,2025,4,Districts,nicobar district,238354,422836415.6753081
Andaman & Nicobar Islands,2026,1,Districts,south andaman district,7088684,9484503181.430899
Andaman & Nicobar Islands,2026,1,Districts,north and middle andaman district,592094,989711661.3057247
Andaman & Nicobar Islands,2026,1,Districts,nicobar district,283723,453291546.9093505
Andaman & Nicobar Islands,2026,2,Districts,south andaman district,6820738,8937260921.360212
Andaman & Nicobar Islands,2026,2,Districts,north and middle andaman district,632360,1018554643.5334858
Andaman & Nicobar Islands,2026,2,Districts,nicobar district,299997,486479477.9336041
Andhra Pradesh,2018,1,Districts,visakhapatnam district,1100789,1575671555.8980691
Andhra Pradesh,2018,1,Districts,tirupati district,708058,837206068.1913958
Andhra Pradesh,2018,1,Districts,ntr district,662108,1022237717.2659075
Andhra Pradesh,2018,1,Districts,sri potti sriramulu nellore district,563237,714051827.2781703
Andhra Pradesh,2018,1,Districts,guntur district,556778,759491963.7014838
Andhra Pradesh,2018,1,Districts,kakinada district,546143,646114247.8947423
Andhra Pradesh,2018,1,Districts,ananthapuramu district,519650,629659116.4654719
Andhra Pradesh,2018,1,Districts,srikakulam district,485051,590019411.9893982
Andhra Pradesh,2018,1,Districts,vizianagaram district,481437,560703283.991643
Andhra Pradesh,2018,1,Districts,ysr kadapa district,462351,637011235.8255043
Andhra Pradesh,2018,2,Districts,visakhapatnam district,1404079,2641895970.574607
Andhra Pradesh,2018,2,Districts,tirupati district,986116,1634331843.0410848
Andhra Pradesh,2018,2,Districts,ntr district,942770,1925187799.109925
Andhra Pradesh,2018,2,Districts,sri potti sriramulu nellore district,817855,1576526120.1915147
Andhra Pradesh,2018,2,Districts,guntur district,742594,1407626091.868168
Andhra Pradesh,2018,2,Districts,ananthapuramu district,735610,1328289806.8045878
Andhra Pradesh,2018,2,Districts,kakinada district,686813,1095780702.1403868
Andhra Pradesh,2018,2,Districts,ysr kadapa district,658249,1303401504.0324652
Andhra Pradesh,2018,2,Districts,prakasam district,625108,1392381396.481994
Andhra Pradesh,2018,2,Districts,nandyal district,621832,917608912.4298656
Andhra Pradesh,2018,3,Districts,visakhapatnam district,2825221,4187446871.2203503
Andhra Pradesh,2018,3,Districts,nandyal district,2405920,2002476382.1120179
Andhra Pradesh,2018,3,Districts,kakinada district,1902622,1907809882.984363
Andhra Pradesh,2018,3,Districts,tirupati district,1869906,2612930191.4361424
Andhra Pradesh,2018,3,Districts,ntr district,1774907,2934155516.6509156
Andhra Pradesh,2018,3,Districts,ysr kadapa district,1456445,2036163938.718553
Andhra Pradesh,2018,3,Districts,ananthapuramu district,1443186,2066916673.207838
Andhra Pradesh,2018,3,Districts,sri potti sriramulu nellore district,1316258,2207942931.8319893
Andhra Pradesh,2018,3,Districts,guntur district,1291308,2102628726.0930057
Andhra Pradesh,2018,3,Districts,east godavari district,1280269,1515771349.0189283
Andhra Pradesh,2018,4,Districts,visakhapatnam district,4195568,6345508531.481102
Andhra Pradesh,2018,4,Districts,tirupati district,2578141,3925971540.583509
Andhra Pradesh,2018,4,Districts,ntr district,2198836,4290541220.493945
Andhra Pradesh,2018,4,Districts,sri potti sriramulu nellore district,1810657,3215016511.3030357
Andhra Pradesh,2018,4,Districts,ananthapuramu district,1791542,3054048321.0540195
Andhra Pradesh,2018,4,Districts,kakinada district,1769614,2396441133.6286964
Andhra Pradesh,2018,4,Districts,guntur district,1720050,3158953777.64441
Andhra Pradesh,2018,4,Districts,nandyal district,1648685,2102835120.496632
Andhra Pradesh,2018,4,Districts,ysr kadapa district,1604047,2953432316.6155787
Andhra Pradesh,2018,4,Districts,vizianagaram district,1549899,1928424300.2565918
Andhra Pradesh,2019,1,Districts,visakhapatnam district,8382005,11300229984.38348
Andhra Pradesh,2019,1,Districts,tirupati district,5699467,6950151396.22958
Andhra Pradesh,2019,1,Districts,ntr district,4242041,7156832719.007949
Andhra Pradesh,2019,1,Districts,guntur district,3428706,5471888845.536947
Andhra Pradesh,2019,1,Districts,sri potti sriramulu nellore district,3391347,5294632374.484514
Andhra Pradesh,2019,1,Districts,kakinada district,3364566,4146621359.331879
Andhra Pradesh,2019,1,Districts,vizianagaram district,3243425,3739846687.64906
Andhra Pradesh,2019,1,Districts,ananthapuramu district,3228901,4948648251.604151
Andhra Pradesh,2019,1,Districts,ysr kadapa district,2725500,4737437525.279347
Andhra Pradesh,2019,1,Districts,nandyal district,2675298,3306358362.373829
Andhra Pradesh,2019,2,Districts,visakhapatnam district,10232842,16865909521.471777
Andhra Pradesh,2019,2,Districts,tirupati district,5924756,10479229323.08953
Andhra Pradesh,2019,2,Districts,ntr district,5056930,10555641963.884254
Andhra Pradesh,2019,2,Districts,guntur district,3977049,7902122454.968379
Andhra Pradesh,2019,2,Districts,sri potti sriramulu nellore district,3643756,7851919972.644347
Andhra Pradesh,2019,2,Districts,ananthapuramu district,3373619,7332650455.790795
Andhra Pradesh,2019,2,Districts,kakinada district,3214153,5807223213.222093
Andhra Pradesh,2019,2,Districts,vizianagaram district,2953977,5571194369.907303
Andhra Pradesh,2019,2,Districts,ysr kadapa district,2883856,7009710087.804227
Andhra Pradesh,2019,2,Districts,kurnool district,2839902,5266041849.701012
Andhra Pradesh,2019,3,Districts,visakhapatnam district,15100182,22134909463.09517
Andhra Pradesh,2019,3,Districts,tirupati district,7626783,13108656841.61405
Andhra Pradesh,2019,3,Districts,ntr district,6771684,13339836528.400433
Andhra Pradesh,2019,3,Districts,guntur district,5568709,10203710981.357449
Andhra Pradesh,2019,3,Districts,sri potti sriramulu nellore district,4489124,9408269175.455868
Andhra Pradesh,2019,3,Districts,ananthapuramu district,4298762,9087001908.963615
